Name,Category,Description,Price
No Strings Attached Combo - Veg,Flavours Of Love Combos (Save Rs 122),Save Rs. 122 | 2 Masala Whopper Veg + 2 Med Fries + 2 Medium Soft Drink (Cola),736.0
Premium Family Feast for 4 - Veg,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | Veg Whopper + Paneer Royale + Crispy Veg + BK Veggie + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake,953.0
Premium Family Feast for 4 - Chicken,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | Chicken Whopper + Fiery Chicken + Crispy Chicken + Chicken Crunchy Taco + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake,982.0
Classic Family Feast for 4 - Veg,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | 2 Crispy Veg + BK Veggie + Veg Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake,731.0
Classic Family Feast for 4 - Chicken,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | 2 Crispy Chicken + BK Chicken + Chicken Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake,828.0
Whopper Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 772. Save Rs 90 | 2 Veg Whopper + 1 King Fries + 1 Chocolate Shake + 1 Medium Soft Drink (Cola),682.0
Whopper Duo - Non Veg,Super Saver Combos (Save upto Rs 90),MRP 812. Save Rs 90 | 2 Chicken Whopper + 1 King Fries  + 1 Chocolate Shake  + 1 Medium Soft Drink (Cola),722.0
Paneer Royale Burger + Hot 'N' Saucy Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0
Hot 'N' Saucy Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 Hot 'N' Saucy + 1 King Fries + 2 Medium Soft Drink (Cola),628.0
Fiery Duo - Non Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 FieryChicken + 1 King Fries + 2 Medium Soft Drink (Cola),628.0
Binging Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 706. Save Rs 90 | 2Crispy Veg Double Patty+1King Fries+2Chocolate Shake,616.0
Binging Duo - Non  Veg,Super Saver Combos (Save upto Rs 90),MRP 766. Save Rs 90 | 2Crispy Chicken Double Patty+1King Fries+2Chocolate Shake,696.0
Indulgent Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 Paneer Royale + 1 King Fries + 2 Medium Soft Drink (Cola),628.0
Indulgent Duo - Non Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 Chicken Tandoor Grill + 1 King Fries + 2 Medium Soft Drink (Cola),628.0
2 Hot 'N' Saucy Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0
2 Fiery Chicken Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0
